timestamp,inbound_sms_count,inbound_vc_minutes,outbound_sms_count,outbound_vc_minutes,in_network_inbound_sms_count,out_of_network_inbound_sms_count,in_network_outbound_sms_count,out_of_network_outbound_sms_count,in_network_inbound_vc_minutes,out_of_network_inbound_vc_minutes,in_network_outbound_vc_minutes,out_of_network_outbound_vc_minutes
2013-06-13,0,1.6333333333333333,0.0,4.183333333333334,0,0,0,0.0,0,1.6333333333333333,4,0.18333333333333357
2013-06-14,0,0.0,0.0,6.166666666666667,0,0,0,0.0,0,0.0,1,5.166666666666667
2013-06-15,0,0.16666666666666666,0.0,2.716666666666667,0,0,0,0.0,0,0.16666666666666666,1,1.7166666666666668
2013-06-16,2,2.3666666666666667,2.0,0.0,2,0,2,0.0,1,1.3666666666666667,0,0.0
2013-06-17,0,1.2333333333333334,0.0,3.8666666666666667,0,0,0,0.0,1,0.2333333333333334,2,1.8666666666666667
2013-06-18,0,0.26666666666666666,0.0,5.466666666666667,0,0,0,0.0,0,0.26666666666666666,3,2.466666666666667
2013-06-19,0,1.0333333333333334,0.0,1.8,0,0,0,0.0,0,1.0333333333333334,0,1.8
2013-06-20,0,8.8,0.0,3.6,0,0,0,0.0,2,6.800000000000001,1,2.6
2013-06-21,0,6.9,0.0,6.65,0,0,0,0.0,4,2.9000000000000004,3,3.6500000000000004
2013-06-22,2,2.8833333333333333,7.0,7.333333333333333,2,0,1,6.0,1,1.8833333333333333,6,1.333333333333333
2013-06-23,0,2.6,0.0,1.0833333333333333,0,0,0,0.0,2,0.6000000000000001,0,1.0833333333333333
2013-06-24,0,0.6333333333333333,0.0,2.6333333333333333,0,0,0,0.0,0,0.6333333333333333,0,2.6333333333333333
2013-06-25,0,2.9,0.0,3.283333333333333,0,0,0,0.0,1,1.9,2,1.2833333333333332
2013-06-26,0,0.75,0.0,0.0,0,0,0,0.0,0,0.75,0,0.0
2013-06-27,0,1.1166666666666667,0.0,6.45,0,0,0,0.0,1,0.1166666666666667,3,3.45
2013-06-28,0,1.7833333333333334,0.0,3.0166666666666666,0,0,0,0.0,0,1.7833333333333334,2,1.0166666666666666
2013-06-29,0,2.1333333333333333,2.0,3.4,0,0,2,0.0,0,2.1333333333333333,3,0.3999999999999999
2013-06-30,0,5.85,0.0,3.2,0,0,0,0.0,4,1.8499999999999996,1,2.2
2013-07-01,0,14.416666666666666,0.0,9.1,0,0,0,0.0,10,4.416666666666666,4,5.1
2013-07-02,0,9.35,0.0,6.283333333333333,0,0,0,0.0,6,3.3499999999999996,1,5.283333333333333
